time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,q_ad,T,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
19,86.96488602,13.56185286,4.514540035,0.118434426,0.199101349,0.44071689,1.800360156,0,0,0,0.021437601,-54.87726782,0,557.967643,87.01299365,28.96533736,0,0,0,0,0,0,0,-346.5250789,0,0,136.97,315.7,0,0,0,0,0,0,0,0,0,0,0,0
20,87.16028792,13.62881518,4.58260242,0.11598568,0.193799354,0.429167936,1.817944645,0,0,0,0.021788026,-54.83832395,0,558.4390155,87.32029591,29.36089411,0,0,0,0,0,0,0,-345.7586432,0,0,135.44,314,0,0,0,0,0,0,0,0,0,0,0,0
21,82.851213,12.69555067,3.984311424,0.107298808,0.177749597,0.412057407,1.676120744,0,0,0,0.019612377,-51.16323709,0,532.4839726,81.59418566,25.60713233,0,0,0,0,0,0,0,-323.7149601,0,0,159.76,314.7,0,0,0,0,0,0,0,0,0,0,0,0
22,82.57985671,12.65615097,4.026448838,0.104827537,0.172859477,0.401178754,1.676349556,0,0,0,0.019888598,-50.93149583,0,532.3972164,81.59495323,25.95875361,0,0,0,0,0,0,0,-323.240656,0,0,157.49,314.65,0,0,0,0,0,0,0,0,0,0,0,0
23,78.66510345,11.85870945,3.615814057,0.09452579,0.153368797,0.372274017,1.573730916,0,0,0,0.018588106,-47.5581923,0,511.7117961,77.14019618,23.52065432,0,0,0,0,0,0,0,-304.5896312,0,0,190.29,315.15,0,0,0,0,0,0,0,0,0,0,0,0
24,82.08873966,12.55301532,3.987189099,0.102721073,0.170308128,0.396537638,1.665845483,0,0,0,0.019805949,-50.5736482,0,530.7180397,81.15743661,25.77787393,0,0,0,0,0,0,0,-321.870853,0,0,159.86,315.15,0,0,0,0,0,0,0,0,0,0,0,0
25,85.41988771,13.28928839,4.515759058,0.106882137,0.178148944,0.39886777,1.784843117,0,0,0,0.02186568,-53.38383907,0,552.157569,85.90249141,29.19004708,0,0,0,0,0,0,0,-339.5707977,0,0,131.56,315.1,0,0,0,0,0,0,0,0,0,0,0,0
26,78.86121634,11.8704603,3.563424517,0.095717156,0.156982257,0.380947832,1.563704724,0,0,0,0.018255816,-47.78960767,0,511.2958923,76.96200835,23.10342653,0,0,0,0,0,0,0,-305.1001628,0,0,196.16,315.25,0,0,0,0,0,0,0,0,0,0,0,0
27,79.38094157,11.94479987,3.511721118,0.098596282,0.163098812,0.394843237,1.561074666,0,0,0,0.017876177,-48.23949168,0,511.5141801,76.96979141,22.62879619,0,0,0,0,0,0,0,-306.1212224,0,0,199.89,315.15,0,0,0,0,0,0,0,0,0,0,0,0
28,80.89074677,12.30910529,3.8631507,0.089107393,0.144760824,0.351149444,1.627181817,0,0,0,0.019506396,-49.28541145,0,522.0289345,79.43688714,24.93086693,0,0,0,0,0,0,0,-313.1422478,0,0,140.74,315,0,0,0,0,0,0,0,0,0,0,0,0
29,78.38772344,11.73954651,3.47110749,0.082714038,0.132898166,0.338167786,1.52381868,0,0,0,0.017945077,-47.31052381,0,506.3643741,75.83442738,22.42245462,0,0,0,0,0,0,0,-301.0193154,0,0,180.35,315.5,0,0,0,0,0,0,0,0,0,0,0,0
30,79.03587035,11.87644481,3.552319907,0.08278796,0.133295239,0.337196339,1.542446074,0,0,0,0.018244212,-47.8243883,0,509.8194317,76.60878934,22.91417439,0,0,0,0,0,0,0,-303.8392516,0,0,168.58,315.25,0,0,0,0,0,0,0,0,0,0,0,0
31,86.06036286,13.35948619,4.486186554,0.0920963,0.151592156,0.351140888,1.754551102,0,0,0,0.021643934,-53.86493805,0,551.2382732,85.57086973,28.73515341,0,0,0,0,0,0,0,-339.6417726,0,0,118.08,315.2,0,0,0,0,0,0,0,0,0,0,0,0
32,86.33083303,13.40935592,4.491753592,0.093825194,0.154925326,0.357731443,1.758017627,0,0,0,0.021598812,-54.10043267,0,551.9130001,85.72600997,28.71577991,0,0,0,0,0,0,0,-340.4803134,0,0,117.03,315.25,0,0,0,0,0,0,0,0,0,0,0,0
33,76.83416,11.39545702,3.225123362,0.08008388,0.12817283,0.335263139,1.464825226,0,0,0,0.016950767,-46.03124914,0,496.4122996,73.62408888,20.83696763,0,0,0,0,0,0,0,-293.0003427,0,0,196.95,315.3,0,0,0,0,0,0,0,0,0,0,0,0
34,81.4649037,12.38026733,3.856413092,0.086117733,0.139962602,0.343077955,1.612554727,0,0,0,0.019342724,-49.92441691,0,523.9442496,79.62410289,24.80264963,0,0,0,0,0,0,0,-316.1979316,0,0,150.17,315.2,0,0,0,0,0,0,0,0,0,0,0,0
35,77.30840791,11.47491066,3.256521637,0.08120308,0.13039169,0.338944961,1.468610627,0,0,0,0.017012693,-46.53015707,0,498.9412238,74.05799863,21.01728563,0,0,0,0,0,0,0,-295.8752958,0,0,213.65,315.35,0,0,0,0,0,0,0,0,0,0,0,0
36,77.42122792,11.48246481,3.2351874,0.081533694,0.131283671,0.341341534,1.463966658,0,0,0,0.016880439,-46.67757589,0,499.1778409,74.03385541,20.85905771,0,0,0,0,0,0,0,-296.5392362,0,0,215.91,315.35,0,0,0,0,0,0,0,0,0,0,0,0
37,77.27339236,11.47073665,3.269766451,0.08029597,0.12864711,0.335128697,1.469224532,0,0,0,0.017093195,-46.51479993,0,499.3199339,74.12082334,21.12835374,0,0,0,0,0,0,0,-296.1332207,0,0,214.71,315.3,0,0,0,0,0,0,0,0,0,0,0,0
38,86.5528736,13.39626791,4.408776205,0.094677538,0.157214925,0.364746875,1.731899174,0,0,0,0.021087357,-54.56151717,0,552.127837,85.45588512,28.12394284,0,0,0,0,0,0,0,-342.720162,0,0,125.63,315.35,0,0,0,0,0,0,0,0,0,0,0,0
39,86.52152802,13.39280234,4.409040795,0.094584152,0.157027442,0.364347517,1.732762769,0,0,0,0.021098687,-54.5167544,0,551.9731775,85.4407895,28.12793894,0,0,0,0,0,0,0,-342.4627406,0,0,125.56,315.25,0,0,0,0,0,0,0,0,0,0,0,0
40,77.42001484,11.48680578,3.213001158,0.082575706,0.133415325,0.346161969,1.466854023,0,0,0,0.016770682,-46.58711333,0,498.1960572,73.9173373,20.67559031,0,0,0,0,0,0,0,-295.37761,0,0,220.31,315.3,0,0,0,0,0,0,0,0,0,0,0,0
41,78.98838424,11.81764497,3.443946989,0.082981659,0.134388202,0.342361337,1.51587861,0,0,0,0.017682973,-47.96376055,0,508.4945396,76.07710929,22.17070593,0,0,0,0,0,0,0,-304.1842583,0,0,188.91,315.35,0,0,0,0,0,0,0,0,0,0,0,0
42,76.99800593,11.4030043,3.205849566,0.080344088,0.128877802,0.337246902,1.455724883,0,0,0,0.016810566,-46.30148554,0,497.2085036,73.63399394,20.70151878,0,0,0,0,0,0,0,-294.5992908,0,0,211.49,315.3,0,0,0,0,0,0,0,0,0,0,0,0
43,77.84430939,11.59556353,3.301626832,0.085759994,0.13870733,0.354272171,1.488448405,0,0,0,0.017119263,-46.85912231,0,500.121688,74.49732486,21.21176484,0,0,0,0,0,0,0,-296.5904189,0,0,141.58,315.35,0,0,0,0,0,0,0,0,0,0,0,0
44,76.92127295,11.394328,3.233450788,0.080850209,0.129302942,0.337061118,1.458155023,0,0,0,0.016959697,-46.28300622,0,497.7422877,73.73043463,20.92301818,0,0,0,0,0,0,0,-295.0819637,0,0,206.07,315.25,0,0,0,0,0,0,0,0,0,0,0,0
45,85.61373306,13.26941394,4.449380686,0.094456046,0.155298852,0.358427307,1.749853325,0,0,0,0.021551587,-53.56365531,0,549.8900386,85.22836559,28.57800997,0,0,0,0,0,0,0,-338.6585365,0,0,126.46,315.2,0,0,0,0,0,0,0,0,0,0,0,0
46,85.82093946,13.285781,4.403432166,0.095702846,0.158133209,0.365496636,1.740658827,0,0,0,0.021251632,-53.81529507,0,549.7735066,85.10942033,28.20862086,0,0,0,0,0,0,0,-339.3930318,0,0,126.01,315.2,0,0,0,0,0,0,0,0,0,0,0,0
